sentence_1,sentence_2,label,source
"ශ්‍රී ලංකාව සෙරන්ඩිබ්, සිලොන්, දීප්තිමත් දිවයින, ධර්ම දිවයින, ඉන්දියන් සාගරයේ මුතු ඇටය නමින්ද හදුන්වයි",වර්තමාන ලෝකයේ බොහෝ වැඩ කටයුතු සඳහා පරිගණක තාක්ෂණය අත්‍යවශ්‍ය වී තිබේ,0.09,unrelated
අභ්‍යවකාශ ගවේෂණය මගින් විශ්වය පිළිබඳ නව තොරතුරු හෙළි වේ,මව තම දරුවාට ආදරයෙන් කෑම කැවූවාය,0.09,unrelated
සොෆ්ට්වෙයාර් යොදාගෙන අසීරු ගණනය කිරීම් ඉතා පහසුවෙන් නිම කළ හැක,කලා ක්ෂේත්‍රය සමාජ සංස්කෘතිය ප්‍රචාරයට උපකාරී වේ,0.19,unrelated
එම ඉන්ද්‍රීන් මගින් ග්‍රහනය කරගන්නා ලෝකය මොළය මගින් ප්‍රත්‍යක්ෂ කර ගනී,සිංහල බසින් පවතින ව්‍යාපෘතිවල සිංහල මුල් පිටුව වෙතද අනෙකුත් ව්‍යාපෘතිවල ඉංග්‍රීසි මුල් පිටුව වෙතද සබැඳි පහත දැක්වේ,0.13,unrelated
මව තම දරුවාට ආදරයෙන් කෑම කැවූවාය,අම්මා විසින් කුඩා බිළිඳාට ආහාර ලබා දුන්නේ ඉතාමත් සෙනෙහසිනි,0.6,existing
මව තම දරුවාට ආදරයෙන් කෑම කැවූවාය,අම්මා විසින් කුඩා බිළිඳාට ආහාර ලබා දුන්නේ ඉතාමත් සෙනෙහසිනි,0.6,existing
රටේ ආර්ථිකය දියුණු වීමෙන් මිනිසුන්ගේ ජීවන තත්ත්වය උසස් වේ,එය ලොව 123 වැනි විශාලතම රට වන අතරවිශාලතම දූපත්අතරින් 25 වන ස්ථානයෙ සිටියි,0.19,unrelated
නීති රීති ක්‍රියාත්මක වීම මගින් රටක යුක්තිය සහ එකමුතුකම ආරක්ෂා වේ,නීති රීති ක්‍රියාත්මක වීම මගින් රටක යුක්තිය සහ එකමුතුකම ආරක්ෂා වේ,1.0,identity
උපතේදී අයකු ක්‍රියා කරන්නේ හැඟීම් හා උත්තේජයන් මතය,ආර්ථික වර්ධනය ජන ජීවන මට්ටම ඉහළ නැංවීමට උපකාරී වේ,0.27,unrelated
ප්ලාස්ටික් භාවිතය අවම කිරීමෙන් පරිසර හානිය වළක්වා ගත හැක,සූර්ය බලශක්තිය භාවිත කිරීමෙන් සොබාදහමට හානියක් නොවන සේ බලශක්තිය නිපදවිය හැක,0.29,unrelated
නවීන යන්ත්‍රෝපකරණ භාවිතයෙන් කෘෂිකාර්මික අස්වැන්න වැඩි කළ හැක,විදුලිය නොමැතිව අද දිනයේ ජීවිතය කල්පනා කළ නොහැක,0.01,unrelated
නමුත් එය තුලනය කිරීමට කිසිදා නොහැකි වනු ඇත,මානව හිමිකම් සුරැකීම ශිෂ්ට සම්පන්න සමාජයක ලක්ෂණයකි,0.08,unrelated
නවීන තාක්ෂණය භාවිතයෙන් කාර්යයන් වඩාත් වේගවත්ව සිදු කළ හැක,නවීන තාක්ෂණය භාවිතයෙන් කාර්යයන් වඩාත් වන්නේයගවත්ව සිදු කළ හැක,0.79,paraphrase
විශ්වයේ රහස් සොයා ගැනීම සඳහා සිදුකරන ගවේෂණ මගින් අලුත් දත්ත රාශියක් ලැබේ,විශ්වයේ රහස් සොයා ගැනීම සඳහා සිදුකරන ගවන්නේයෂණ මගින් අලුත් දත්ත රාශියක් ලැබේ,0.88,paraphrase
රටේ ආර්ථිකය දියුණු වීමෙන් මිනිසුන්ගේ ජීවන තත්ත්වය උසස් වේ,සූර්ය කෝෂ මගින් බලශක්තිය ලබා ගැනීම ස්වභාවධර්මය සුරකින ක්‍රියාවකි,0.1,unrelated
එක් එක් ජාතිය සතු විශේෂ ගුණාංග ඔවුන්ගේ නිර්මාණ තුළින් පිළිඹිබු වේ,නමුත් එය තුලනය කිරීමට කිසිදා නොහැකි වනු ඇත,0.18,unrelated
එය මිනිසා විසින් අවසානයක් දක්වා තුලනය කිරීමට උත්සහ දරයි,විවිධ ග්‍රන්ථ කියවීමෙන් පුද්ගලයාගේ බුද්ධි මට්ටම වර්ධනය කර ගත හැක,0.15,unrelated
සාගර දූෂණය නිසා මුහුදු ජීවීන් විනාශයට පත් වේ,ජංගම දුරකථන භාවිතය නිසා සන්නිවේදනය ඉතා වේගවත් වී ඇත,0.0,existing
කාලගුණික විපර්යාස නිසා ලෝකයේ අයිස් කඳු දිය වෙමින් පවතී,පරිසර උෂ්ණත්වය ඉහළ යාම නිසා ධ්‍රැවීය ප්‍රදේශවල අයිස් තට්ටු දියවී යයි,0.8,existing
කාලගුණික විපර්යාස නිසා ලෝකයේ අයිස් කඳු දිය වෙමින් පවතී,කාලගුණික විපර්යාස නිමිත්තෙන් ලෝකයේ අයිස් කඳු දිය වෙමින් පවතී,0.85,paraphrase
කොටස් වෙළඳපොල උච්චාවචනය වීම රටක ආර්ථිකයට සෘජුව බලපායි,පොත් කියවීම දැනුම ලබා ගැනීමට ඇති හොඳම මාර්ගයයි,0.0,existing
මානව හිමිකම් සුරැකීම ශිෂ්ට සම්පන්න සමාජයක ලක්ෂණයකි,මිනිස් අයිතිවාසිකම්වලට ගරු කිරීම උසස් සමාජයක මූලික ගුණයකි,0.7,existing
ඉර වටා කක්ෂගතව භ්‍රමණය වන එක් ග්‍රහයෙක් වන්නේ අප ජීවත් වන පෘථිවියයි,මිනිසුන් ගමන් බිමන් සඳහා දුම්රිය භාවිත කිරීම ඉතා පහසු ක්‍රමයකි,0.15,unrelated
ප්ලාස්ටික් භාවිතය අවම කිරීමෙන් පරිසර හානිය වළක්වා ගත හැක,ප්ලාස්ටික් පාවිච්චිය සීමා කිරීම පරිසරය සුරැකීමට මහත් රුකුලකි,0.8,existing
මුහුදට අපද්‍රව්‍ය බැහැර කිරීම නිසා සාගර සතුන්ගේ ජීවිත අනතුරේ වැටේ,පරිගණක මෘදුකාංග මගින් සංකීර්ණ ගැටළු පහසුවෙන් විසඳිය හැක,0.28,unrelated
එය ලොව 123 වැනි විශාලතම රට වන අතරවිශාලතම දූපත්අතරින් 25 වන ස්ථානයෙ සිටියි,ලංකාවේ ඉතිහාසය වසර දහස් ගණනක් ඈතට දිව යයි,0.01,unrelated
මෙම වචනය බෞද්ධ දර්ශනය තුලින් සිංහලයට පරිනාමය වූ වචනයකි,මෙම වචනය බෞද්ධ දර්ශනය තුලින් සිංහලයට පරිනාමය වූ වචනයකි,1.0,identity
ජලය වියළීමෙන් පරිසරයට හානියක් සිදු විය හැක,ජලය වියළීමෙන් පරිසරයට හානියක් සිදු විය හැක,1.0,identity
ඉලෙක්ට්‍රොනික බැංකු ක්‍රමය නිසා මුදල් හුවමාරු කිරීම ඉතා වේගවත් වී ඇත,කලා ක්ෂේත්‍රය සමාජ සංස්කෘතිය ප්‍රචාරයට උපකාරී වේ,0.26,unrelated
එය ලොව 123 වැනි විශාලතම රට වන අතරවිශාලතම දූපත්අතරින් 25 වන ස්ථානයෙ සිටියි,එය ලොව 123 වැනි විශාලතම රට වන අතරවිශාලතම දූපත්අතරින් 25 වන ස්ථානයෙ සිටියි,1.0,identity
නිරෝගී දිවියකට පෝෂ්‍යදායී ආහාර වේලක් අත්‍යවශ්‍ය වේ,නිරෝගී දිවියකට පෝෂ්‍යදායී ආහාර වේලක් අත්‍යවශ්‍ය වේ,1.0,identity
නිසි වේලාවට ආහාර ගැනීම ලෙඩ රෝගවලින් ආරක්ෂා වීමට මගකි,දේශීය කර්මාන්ත නගා සිටුවීමෙන් රටේ නිෂ්පාදන ධාරිතාව ඉහළ යයි,0.0,existing
එය මිනිසා විසින් අවසානයක් දක්වා තුලනය කිරීමට උත්සහ දරයි,එය මිනිසා විසින් අවසානයක් දක්වා තුලනය කිරීමට උත්සහ දරයි,1.0,identity
අනුරාධපුරය පැරණි රජදහනක් ලෙස හැඳින්වේ,ප්‍රජාතන්ත්‍රවාදය යනු ජනතාවගේ පාලනය ජනතාව විසින්ම සිදු කිරීමයි,0.0,existing
මහජන ප්‍රවාහන සේවා අතර දුම්රිය ගමනාගමනයට වැඩි ඉල්ලුමක් පවතී,මොබයිල් පෝන් භාවිතයෙන් ඕනෑම කෙනෙකුට ඉතා ඉක්මනින් පණිවිඩයක් යැවිය හැකිය,0.12,unrelated
ලොවක් හඳුනන පුරාණ කලාගාරයක් ලෙස සීගිරි පර්වතය හැඳින්විය හැක,රට තුළ පවතින කර්මාන්ත දියුණු කිරීමෙන් නිෂ්පාදන ප්‍රමාණය වැඩි කර ගත හැකිය,0.09,unrelated
කෘති කියවීමෙන් පුද්ගලයෙකුට තම බුද්ධිය වර්ධනය කර ගත හැක,රටක් ප්‍රගතිය කරා ගමන් කිරීමට නම් සමාජය තුළ සමගිය තිබිය යුතුය,0.03,unrelated
සොෆ්ට්වෙයාර් යොදාගෙන අසීරු ගණනය කිරීම් ඉතා පහසුවෙන් නිම කළ හැක,චිත්‍ර කලාව සහ සංගීතය මගින් සමාජයේ සංස්කෘතික වටිනාකම් ප්‍රචාරය කරයි,0.21,unrelated
ජංගම දුරකථන භාවිතය නිසා සන්නිවේදනය ඉතා වේගවත් වී ඇත,අධ්‍යාපනය රටක සංවර්ධනයට මූලික වේ,0.16,unrelated
චිත්‍ර කලාව සහ සංගීතය මගින් සමාජයේ සංස්කෘතික වටිනාකම් ප්‍රචාරය කරයි,අභ්‍යවකාශ ගවේෂණය මගින් විශ්වය පිළිබඳ නව තොරතුරු හෙළි වේ,0.27,unrelated
පිටරටින් පැමිණෙන ආයෝජන හරහා රටකට අලුත් දැනුම සහ ධනය එකතු වේ,පිටරටින් පැමිණෙන ආයෝජන හරහා රටකට අලුත් දැනුම සහ ධනය එකතු වේ,1.0,identity
සාහිත්‍ය කෘති පරිශීලනයෙන් මිනිස් මනස සහ රසවින්දනය දියුණු වේ,ජල සම්පත් සුරැකීම පරිසරය රැක ගැනීමට වැදගත් වේ,0.27,unrelated
අධික වර්ෂාව පවතින සමයේ ඩෙංගු උණ වැළඳීමේ ප්‍රවණතාව ඉහළ යයි,කෘෂිකර්මාන්තය ශ්‍රී ලාංකිකයන්ගේ ප්‍රධානම ආදායම් මාර්ගය ලෙස සැලකේ,0.16,unrelated
අධික වර්ෂාව පවතින සමයේ ඩෙංගු උණ වැළඳීමේ ප්‍රවණතාව ඉහළ යයි,නීති රීති ක්‍රියාත්මක වීම මගින් රටක යුක්තිය සහ එකමුතුකම ආරක්ෂා වේ,0.17,unrelated
රටේ සංස්කෘතික දායාද රැක ගැනීම සියලු දෙනාගේම යුතුකමකි,සෞඛ්‍ය සම්පන්නව ජීවත් වීමට නම් පෝෂණය සපිරි කෑම ගැනීම වැදගත්ය,0.29,unrelated
බැංකු ක්ෂේත්‍රය ඩිජිටල්කරණය වීම නිසා මුදල් ගනුදෙනු පහසු වී ඇත,ඉලෙක්ට්‍රොනික බැංකු ක්‍රමය නිසා මුදල් හුවමාරු කිරීම ඉතා වේගවත් වී ඇත,0.8,existing
නිරෝගී දිවියකට පෝෂ්‍යදායී ආහාර වේලක් අත්‍යවශ්‍ය වේ,ප්‍රජාතන්ත්‍රවාදය යනු ජනතාවගේ පාලනය ජනතාව විසින්ම සිදු කිරීමයි,0.0,existing
පොත් කියවීම දැනුම ලබා ගැනීමට ඇති හොඳම මාර්ගයයි,විවිධ ග්‍රන්ථ කියවීමෙන් පුද්ගලයාගේ බුද්ධි මට්ටම වර්ධනය කර ගත හැක,0.7,existing
ජංගම දුරකථන භාවිතය නිසා සන්නිවේදනය ඉතා වේගවත් වී ඇත,කලා ශිල්ප මගින් ජාතියක අනන්‍යතාවය ලොවට විදහා දක්වයි,0.0,existing
ඉන්දියානු ජනරජයසහ ශ්‍රී ලංකා ජනරජය 1976 මාර්තු 23 වන දිනමනාර් බොක්කසහ බෙංගාල බොක්කෙහිසමුද්‍ර මායිම්ස්ථාපිත කරමින් ගිවිසුමක් අත්සන් කරන ලදී,කාලගුණික විපර්යාස නිසා ලෝකයේ අයිස් කඳු දිය වෙමින් පවතී,0.26,unrelated
සූර්ය බලශක්තිය භාවිත කිරීමෙන් සොබාදහමට හානියක් නොවන සේ බලශක්තිය නිපදවිය හැක,එක් එක් ජාතිය සතු විශේෂ ගුණාංග ඔවුන්ගේ නිර්මාණ තුළින් පිළිඹිබු වේ,0.1,unrelated
ගොවිතැන අපේ රටේ ප්‍රධාන ජීවනෝපාය මාර්ගයයි,පරිසර උෂ්ණත්වය ඉහළ යාම නිසා ධ්‍රැවීය ප්‍රදේශවල අයිස් තට්ටු දියවී යයි,0.1,unrelated
දුම්රිය සේවය පොදු ප්‍රවාහනයේ වැදගත් අංගයකි,මහජන ප්‍රවාහන සේවා අතර දුම්රිය ගමනාගමනයට වැඩි ඉල්ලුමක් පවතී,0.6,existing
සෞඛ්‍ය සම්පන්න දිවියකට ජලය පානය කිරීම වැදගත් වේ,සෞඛ්‍ය සම්පන්න දිවියකට ජලය පානය කිරීම වැදගත් වේ,1.0,existing
දේශීය සංචාරක ස්ථාන ප්‍රවර්ධනය කිරීමෙන් රටට ආදායම් මාර්ග උදා වේ,ගුවන් යානා තාක්ෂණය ලෝකය පුරා ගමනාගමනය පහසු කර ඇත,0.0,existing
පුනර්ජනනීය බලශක්තිය භාවිතය මගින් විදුලි අර්බුදයට විසඳුම් සෙවිය හැක,කාලගුණික විපර්යාස නිසා ලෝකයේ අයිස් කඳු දිය වෙමින් පවතී,0.0,existing
අහස අද ඉතා පැහැදිලිය,අන්තර්ජාලය හරහා තොරතුරු ඉක්මනින් ලබා ගත හැක,0.22,unrelated
කෘතිම බුද්ධිය අනාගත ලෝකයේ ප්‍රධාන තාක්ෂණයකි,ඔලිම්පික් උළෙල ලොව විශාලතම ක්‍රීඩා උත්සවය ලෙස සැලකේ,0.19,unrelated
ලංකාවේ ඉතිහාසය වසර දහස් ගණනක් ඈතට දිව යයි,ලංකාවේ ඉතිහාසය වසර දහස් ගණනක් ඈතට දිව යයි,1.0,identity
ප්ලාස්ටික් පාවිච්චිය සීමා කිරීම පරිසරය සුරැකීමට මහත් රුකුලකි,මිනිස් අයිතිවාසිකම්වලට ගරු කිරීම උසස් සමාජයක මූලික ගුණයකි,0.04,unrelated
සාම්ප්‍රදායික නර්තන කලාව අපේ සංස්කෘතියේ වටිනා උරුමයකි,කැළි කසළ කළමනාකරණය නගර අලංකාරයට සහ සෞඛ්‍යයට වැදගත් වේ,0.0,existing
සූර්ය කෝෂ මගින් බලශක්තිය ලබා ගැනීම ස්වභාවධර්මය සුරකින ක්‍රියාවකි,පාසල් වාරය ලබන සතියේ අවසන් වේ,0.21,unrelated
ගුවන් යානා තාක්ෂණය ලෝකය පුරා ගමනාගමනය පහසු කර ඇත,ගුවන් යානා තාක්ෂණය ලෝකය පුරා ගමනාගමනය පහසු කර ඇත,1.0,identity
නීතිය සමාජයේ සාමය සහ සාධාරණත්වය රැක ගනී,සමාජයක සාමකාමී පැවැත්මට සහ යුක්තිය ඉටු වීමට නීති පද්ධතිය වැදගත් වේ,0.8,existing
වනෝද්‍යාන නැරඹීම සඳහා විදේශිකයන් විශාල වශයෙන් මෙරටට පැමිණේ,කලා ක්ෂේත්‍රය සමාජ සංස්කෘතිය ප්‍රචාරයට උපකාරී වේ,0.16,unrelated
කැළි කසළ කළමනාකරණය නගර අලංකාරයට සහ සෞඛ්‍යයට වැදගත් වේ,කැළි කසළ කළමනාකරණය නගර අලංකාරයට සහ සෞඛ්‍යයට වැදගත් වන්නේය,0.9,paraphrase
ප්‍රජාතන්ත්‍රවාදය යනු ජනතාවගේ පාලනය ජනතාව විසින්ම සිදු කිරීමයි,ප්‍රජාතන්ත්‍රවාදය යනු ජනතාවගේ පාලනය ජනතාව විසින්ම සිදු කිරීමයි,1.0,identity
"නමුත් උපතේ සිට ඹහු ඇස, කණ, දිව, නාසය, සම යන ඉන්ද්‍රීන් මගින් භාහිර ලෝකය ග්‍රහණය කරගනී",කරන්ට් එක අරපිරිමැස්මෙන් පාවිච්චි කිරීම මුදල් මෙන්ම රටේ සම්පත්ද ඉතිරි කිරීමකි,0.07,unrelated
අධ්‍යාපනය රටක සංවර්ධනයට මූලික වේ,සිංහල බසින් පවතින ව්‍යාපෘතිවල සිංහල මුල් පිටුව වෙතද අනෙකුත් ව්‍යාපෘතිවල ඉංග්‍රීසි මුල් පිටුව වෙතද සබැඳි පහත දැක්වේ,0.12,unrelated
සීගිරිය යනු ලොව පුරා ප්‍රසිද්ධ ඓතිහාසික කලාගාරයකි,නවීන යන්ත්‍රෝපකරණ භාවිතයෙන් කෘෂිකාර්මික අස්වැන්න වැඩි කළ හැක,0.18,unrelated
වන සතුන් ආරක්ෂා කිරීම ජෛව විවිධත්වය රැක ගැනීමට අත්‍යවශ්‍ය වේ,ලංකාවේ ඉතිහාසය වසර දහස් ගණනක් ඈතට දිව යයි,0.0,existing
අභ්‍යවකාශ ගවේෂණය මගින් විශ්වය පිළිබඳ නව තොරතුරු හෙළි වේ,බැංකු ක්ෂේත්‍රය ඩිජිටල්කරණය වීම නිසා මුදල් ගනුදෙනු පහසු වී ඇත,0.0,existing
බැංකු ක්ෂේත්‍රය ඩිජිටල්කරණය වීම නිසා මුදල් ගනුදෙනු පහසු වී ඇත,ක්ෂේත්‍ර රාශියක ප්‍රගතිය සඳහා දැනුම සහ අධ්‍යාපනය පදනම සපයයි,0.24,unrelated
ප්ලාස්ටික් භාවිතය අවම කිරීමෙන් පරිසර හානිය වළක්වා ගත හැක,මහනුවර නගරය කඳුකර ප්‍රදේශයේ පිහිටා ඇත,0.0,existing
රටක දියුණුව සඳහා ඉගෙනුම් ක්‍රියාවලිය අත්‍යවශ්‍ය සාධකයකි,රටක දියුණුව සඳහා ඉගෙනුම් ක්‍රියාවලිය අත්‍යවශ්‍ය සාධකයකි,1.0,identity
දළ දේශීය නිෂ්පාදිතය ඉහළ යාමෙන් සාමාන්‍ය ජනයාගේ සැප සම්පත් වැඩි වේ,පරිගණක මෘදුකාංග මගින් සංකීර්ණ ගැටළු පහසුවෙන් විසඳිය හැක,0.12,unrelated
සිතීමේ හැකියාව ඇති ජීවීන් කොටසක් මත විද්‍යාව තුලනය වෙමින් පවතී,සිතීමේ හැකියාව පවතීි ජීවීන් කොටසක් මත විද්‍යාව තුලනය වෙමින් පවතී,0.74,paraphrase
පාසල් වාරය ලබන සතියේ අවසන් වේ,සමාජයක සාමකාමී පැවැත්මට සහ යුක්තිය ඉටු වීමට නීති පද්ධතිය වැදගත් වේ,0.24,unrelated
ස්වභාවධර්මයේ සමතුලිත බව පවත්වා ගැනීම අනාගත දරුවන් වෙනුවෙන් කරන වැඩකි,කුණු නිසි ලෙස බැහැර කිරීමෙන් නගර පිරිසිදුව හා සෞඛ්‍ය සම්පන්නව තබා ගත හැක,0.15,unrelated
සීගිරිය යනු ලොව පුරා ප්‍රසිද්ධ ඓතිහාසික කලාගාරයකි,හිරු එළියෙන් විදුලිය නිපදවීම පරිසර හිතකාමී ක්‍රමයකි,0.17,unrelated
ගොවිතැන අපේ රටේ ප්‍රධාන ජීවනෝපාය මාර්ගයයි,කෘෂිකාර්මික කටයුතු ලාංකිකයන්ගේ ප්‍රමුඛතම ආර්ථික මාර්ගයයි,0.7,existing
පිටරටින් පැමිණෙන ආයෝජන හරහා රටකට අලුත් දැනුම සහ ධනය එකතු වේ,පිටරාජ්‍යයින් පැමිණෙන ආයෝජන හරහා රටකට අලුත් දැනුම සමග ධනය එකතු වේ,0.76,paraphrase
නවීන යන්ත්‍රෝපකරණ භාවිතයෙන් කෘෂිකාර්මික අස්වැන්න වැඩි කළ හැක,සාමය සහ සංහිඳියාව රටක දියුණුවට අත්‍යවශ්‍ය සාධක වේ,0.0,existing
නවීන යන්ත්‍රෝපකරණ භාවිතයෙන් කෘෂිකාර්මික අස්වැන්න වැඩි කළ හැක,කෘෂිකර්මාන්තයට නවීන තාක්ෂණික මෙවලම් එක් කිරීමෙන් වැඩි අස්වැන්නක් ලබාගත හැකිය,0.8,existing
සීගිරිය යනු ලොව පුරා ප්‍රසිද්ධ ඓතිහාසික ස්ථානයකි,අභ්‍යවකාශ ගවේෂණය මගින් විශ්වය පිළිබඳ නව තොරතුරු හෙළි වේ,0.0,existing
බෞද්ධ දර්ශනයට අනුව මෙහි විද්‍යාව ලෙස අදහස් කරනුයේ නවීන බටහිර  විද්‍යාව නොව ලෝකෝත්තර  චතුරාර්ය සත්‍යය පිලිබඳ දැනීම නම්වූ විද්‍යාවයි,බෞද්ධ දර්ශනයට අනුව මෙහි විද්‍යාව විදිහට අදහස් කරනුයේ නවීන බටහිර  විද්‍යාව නොව ලෝකෝත්තර  චතුරාර්ය සත්‍යය පිලිබඳ දැනීම නම්වූ විද්‍යාවයි,0.84,paraphrase
නමුත් එය තුලනය කිරීමට කිසිදා නොහැකි වනු ඇත,අහස අද ඉතා පැහැදිලිය,0.05,unrelated
කෘෂිකර්මාන්තය ශ්‍රී ලාංකිකයන්ගේ ප්‍රධානම ආදායම් මාර්ගය ලෙස සැලකේ,කෘෂිකර්මාන්තය ශ්‍රී ලාංකිකයන්ගේ ප්‍රධානම ආදායම් මාර්ගය අන්දමට සැලකේ,0.85,paraphrase
කොටස් වෙළඳපොල උච්චාවචනය වීම රටක ආර්ථිකයට සෘජුව බලපායි,අධික වර්ෂාව පවතින සමයේ ඩෙංගු උණ වැළඳීමේ ප්‍රවණතාව ඉහළ යයි,0.15,unrelated
අධ්‍යාපන ක්ෂේත්‍රයේ දියුණුව රටේ ප්‍රගතියට බලපායි,අධ්‍යාපන ක්ෂේත්‍රයේ දියුණුව රටේ ප්‍රගතියට බලපායි,1.0,identity
මව තම දරුවාට ආදරයෙන් කෑම කැවූවාය,විදුලි බලය ජන ජීවිතයේ අත්‍යවශ්‍ය කොටසක් වී ඇත,0.06,unrelated
ලංකාවේ ඉතිහාසය වසර දහස් ගණනක් ඈතට දිව යයි,දේශීය කර්මාන්ත නගා සිටුවීමෙන් රටේ නිෂ්පාදන ධාරිතාව ඉහළ යයි,0.0,existing
පුරාවිද්‍යාත්මක වටිනාකමක් ඇති බිම්වලට හානි කිරීම සිරදඬුවම් විඳිය හැකි අපරාධයකි,ස්වභාවධර්මයේ සමතුලිත බව පවත්වා ගැනීම අනාගත දරුවන් වෙනුවෙන් කරන වැඩකි,0.27,unrelated
මහනුවර නගරය කඳුකර ප්‍රදේශයේ පිහිටා ඇත,සමාජ මාධ්‍ය භාවිතය පුද්ගල සබඳතා කෙරෙහි බලපෑම් ඇති කරයි,0.0,existing
රටේ සංස්කෘතික දායාද රැක ගැනීම සියලු දෙනාගේම යුතුකමකි,සූර්ය බලශක්තිය භාවිත කිරීමෙන් සොබාදහමට හානියක් නොවන සේ බලශක්තිය නිපදවිය හැක,0.18,unrelated
චිත්‍ර කලාව සහ සංගීතය මගින් සමාජයේ සංස්කෘතික වටිනාකම් ප්‍රචාරය කරයි,වෛද්‍ය පර්යේෂණ මගින් මාරාන්තික රෝග සඳහා නව ඖෂධ සොයා ගනී,0.22,unrelated
කලා ශිල්ප මගින් ජාතියක අනන්‍යතාවය ලොවට විදහා දක්වයි,එක් එක් ජාතිය සතු විශේෂ ගුණාංග ඔවුන්ගේ නිර්මාණ තුළින් පිළිඹිබු වේ,0.6,existing
ක්‍රීඩාව නිරෝගී දිවියකට මෙන්ම මානසික සහනයටද වැදගත් වේ,ක්‍රීඩාව නිරෝගී දිවියකට මෙන්ම මානසික හානයටද වැදගත් වේ,0.79,paraphrase
ගස් වැල් කැපීම නිසා පෘථිවිය උණුසුම් වේ,කලා ශිල්ප මගින් ජාතියක අනන්‍යතාවය ලොවට විදහා දක්වයි,0.0,existing
විභාගය සඳහා හොඳින් සූදානම් වීම ජයග්‍රහණයට මගකි,පරීක්ෂණයකින් උසස් ලෙස සමත් වීමට නම් කල්තියා පාඩම් කිරීම අත්‍යවශ්‍ය වේ,0.8,existing
කෘති කියවීමෙන් පුද්ගලයෙකුට තම බුද්ධිය වර්ධනය කර ගත හැක,කෘෂිකාර්මික කටයුතු ලාංකිකයන්ගේ ප්‍රමුඛතම ආර්ථික මාර්ගයයි,0.11,unrelated
එය මිනිසා විසින් අවසානයක් දක්වා තුලනය කිරීමට උත්සහ දරයි,ජලය වියළීමෙන් පරිසරයට හානියක් සිදු විය හැක,0.27,unrelated
සාහිත්‍ය කෘති පරිශීලනයෙන් මිනිස් මනස සහ රසවින්දනය දියුණු වේ,සාහිත්‍ය කෘති පරිශීලනයෙන් මිනිස් මනස සහ රසවින්දනය දියුණු වෙයි,0.79,paraphrase
පාරිසරික සමතුලිතතාවය රැක ගැනීම මතු පරපුර වෙනුවෙන් කරන ආයෝජනයකි,ස්වභාවධර්මයේ සමතුලිත බව පවත්වා ගැනීම අනාගත දරුවන් වෙනුවෙන් කරන වැඩකි,0.7,existing
අනුරාධපුරය ශ්‍රී ලංකාවේ පුරාණ අගනුවරක් විය,අනුරාධපුරය ශ්‍රී ලංකාවෙයි පුරාණ අගනුවරක් විය,0.76,paraphrase
ඡන්දය ප්‍රකාශ කිරීම පුරවැසියෙකු සතු මූලික අයිතිවාසිකමකි,ගස් වැල් කැපීම නිසා පෘථිවිය උණුසුම් වේ,0.0,existing
අන්තර්ජාලය හරහා තොරතුරු ඉක්මනින් ලබා ගත හැක,ඉන්ටර්නෙට් භාවිතයෙන් අවශ්‍ය තොරතුරු වේගයෙන් සෙවිය හැක,0.6,existing
පෘථිවිය සූර්යයා වටා ගමන් කරන ග්‍රහලෝකයකි,ඉර වටා කක්ෂගතව භ්‍රමණය වන එක් ග්‍රහයෙක් වන්නේ අප ජීවත් වන පෘථිවියයි,0.8,existing
අන්තර්ජාලය හරහා තොරතුරු ඉක්මනින් ලබා ගත හැක,දේශීය සංචාරක ස්ථාන ප්‍රවර්ධනය කිරීමෙන් රටට ආදායම් මාර්ග උදා වේ,0.09,unrelated
කය වෙහෙසා ක්‍රීඩා කිරීම ශාරීරික සෞඛ්‍යයට මෙන්ම මනසටද හිතකර වේ,බෞද්ධ දර්ශනයට අනුව මෙහි විද්‍යාව ලෙස අදහස් කරනුයේ නවීන බටහිර  විද්‍යාව නොව ලෝකෝත්තර  චතුරාර්ය සත්‍යය පිලිබඳ දැනීම නම්වූ විද්‍යාවයි,0.24,unrelated
සාගර දූෂණය නිසා මුහුදු ජීවීන් විනාශයට පත් වේ,ශ්‍රී ලංකාවේ විශාලත්වය වර්ග කි,0.08,unrelated
සාම්ප්‍රදායික නර්තන කලාව අපේ සංස්කෘතියේ වටිනා උරුමයකි,සාම්ප්‍රදායික නර්තන කලාව අපේ සංස්කෘතියේ වටිනා උරුමයකි,1.0,identity
දේශීය කර්මාන්ත නගා සිටුවීමෙන් රටේ නිෂ්පාදන ධාරිතාව ඉහළ යයි,රට තුළ පවතින කර්මාන්ත දියුණු කිරීමෙන් නිෂ්පාදන ප්‍රමාණය වැඩි කර ගත හැකිය,0.7,existing
දේශීය කර්මාන්ත නගා සිටුවීමෙන් රටේ නිෂ්පාදන ධාරිතාව ඉහළ යයි,නිසි වේලාවට ආහාර ගැනීම ලෙඩ රෝගවලින් ආරක්ෂා වීමට මගකි,0.0,existing
අන්තර්ජාලය හරහා තොරතුරු ඉක්මනින් ලබා ගත හැක,ඉන්දියානු ජනරජයසහ ශ්‍රී ලංකා ජනරජය 1976 මාර්තු 23 වන දිනමනාර් බොක්කසහ බෙංගාල බොක්කෙහිසමුද්‍ර මායිම්ස්ථාපිත කරමින් ගිවිසුමක් අත්සන් කරන ලදී,0.14,unrelated
